critic1_losses,critic2_losses,actor_losses,alpha_losses,stats_win,stats_lose,mean_rewards,mean_win,mean_lose,eval_percent_win,eval_percent_lose
0.422152638,0.289932549,0.3270531,0,0,0,-0.030297178,0,0,0.03,0.31
1.404946566,2.391944408,-0.082191221,0,0,1,-0.221348793,0,0.01754386,0.12,0.33
0.580661476,0.614714682,0.163890332,0,0,1,-0.114811189,0,0.008,0.11,0.28
0.606061459,0.786576867,0.281910241,0,0,1,-0.144385909,0,0.011235955,0.1,0.16
0.811705828,0.796947598,0.189841688,0,0,1,-0.363234063,0,0.033333333,0.11,0.1
0.576253057,0.600003481,0.310061038,0,0,0,-0.149736323,0,0,0.15,0.01
0.250847787,0.363606155,0.222245485,0,0,1,-0.206394572,0,0.016129032,0.07,0.09
0.377384067,0.287681609,0.184332505,0,0,0,-0.166126503,0,0,0.16,0.05
0.330752492,0.269061446,0.015317565,0,0,1,-0.218619346,0,0.019607843,0.22,0.06
0.373731911,0.266273707,-0.184689522,0,0,1,-0.166029881,0,0.00591716,,
0.373432636,0.230531216,-0.110982254,0,0,0,-0.062269229,0,0,,
0.369616598,0.190973788,-0.43962577,0,0,0,-0.155776974,0,0,,
0.351251304,0.25131163,-0.612249255,0,0,1,-0.096276473,0,0.006451613,,
0.315099299,0.279770076,-0.898318887,0,0,0,-0.213029126,0,0,,
0.265293092,0.218979031,-1.297832012,0,0,1,-0.098079215,0,0.006711409,,
0.247362465,0.226891026,-1.398875713,0,0,0,-0.133314473,0,0,,
0.286545575,0.265136033,-1.555938721,0,0,1,-0.126374928,0,0.009174312,,
0.172734156,0.268149316,-1.744475722,0,1,0,0.034994148,0.00729927,0,,
0.189108327,0.286796153,-1.996317148,0,0,0,-0.060774021,0,0,,
1.041670084,1.06012392,-2.296332121,0,0,0,-0.116345687,0,0,,
0.218930632,0.33466661,-2.516923189,0,0,1,-0.33526337,0,0.03125,,
1.212927222,1.234996438,-2.740372896,0,0,0,-0.07341807,0,0,,
0.191546842,0.215410367,-2.919734716,0,0,0,-0.066019521,0,0,,
1.203730345,1.231588483,-3.162191391,0,0,0,-0.132432497,0,0,,
0.303721756,0.270111084,-3.45193243,0,0,1,-0.197861299,0,0.017857143,,
1.424816966,1.413802385,-3.59958601,0,0,0,-0.111023718,0,0,,
0.276180625,0.219210848,-3.805584431,0,0,1,-0.130907728,0,0.010416667,,
0.576930702,0.541584551,-3.907274246,0,0,0,-0.185901206,0,0,,
0.358497947,0.293237627,-4.121620178,0,0,0,-0.065693128,0,0,,
1.516516447,1.493614554,-4.319987297,0,0,0,-0.085592031,0,0,,
0.491638988,0.511859596,-4.604260445,0,0,1,-0.34107054,0,0.03125,,
0.619325042,0.652074456,-4.894702911,0,0,0,-0.042464943,0,0,,
0.639285445,0.692267418,-5.003460884,0,0,1,-0.334866429,0,0.03125,,
0.41419518,0.4931207,-5.218486786,0,1,0,-0.007406647,0.007692308,0,,
1.724300504,1.718633652,-5.311091423,0,0,1,-0.197124788,0,0.016949153,,
0.490163743,0.620348632,-5.412016392,0,0,0,-0.137616486,0,0,,
1.830065608,1.853541732,-5.650008202,0,0,1,-0.072323588,0,0.004504505,,
0.39664942,0.500295758,-5.881388664,0,0,0,-0.196713919,0,0,,
0.703071296,0.821348429,-6.052275181,0,0,1,-0.097923995,0,0.006849315,,
1.976464987,2.128853559,-6.13728857,0,0,0,-0.114420318,0,0,,
1.802129388,1.896161318,-6.230761528,0,0,1,-0.227488063,0,0.020833333,,
2.075520039,2.147167206,-6.520012379,0,0,0,-0.166215256,0,0,,
1.910811067,2.02185607,-6.775760651,0,0,1,-0.349226585,0,0.032258065,,
1.96275878,2.07275939,-6.878060341,0,0,0,-0.180121518,0,0,,
0.490495712,0.558906019,-6.921020031,0,0,1,-0.183056514,0,0.014925373,,
2.090988159,2.348865271,-7.082939625,0,0,0,-0.137356036,0,0,,
2.009145737,2.232672453,-7.103114128,0,1,0,0.128316705,0.013888889,0,,
2.132855654,2.269216776,-7.585655212,0,0,0,-0.139341175,0,0,,
2.039378643,2.363458395,-7.486385822,0,0,1,-0.138811414,0,0.008547009,,
2.157790661,2.341069698,-7.823248386,0,0,0,-0.117304401,0,0,,
0.928569138,1.131161928,-7.860853195,0,1,0,0.087743753,0.010416667,0,,
0.216500252,0.303203881,-7.923377991,0,0,0,-0.128251514,0,0,,
0.263075799,0.306749105,-8.165089607,0,0,1,-0.336439077,0,0.03125,,
0.850780368,0.931775451,-8.355342865,0,0,0,-0.063388107,0,0,,
2.889874697,2.974743366,-8.387377739,0,0,0,-0.029353788,0,0,,
0.712702632,0.810602963,-8.83825016,0,0,0,-0.16245402,0,0,,
2.428937197,2.480964899,-9.164600372,0,0,1,-0.245406871,0,0.022727273,,
5.995708942,6.416579247,-9.197554588,0,0,0,-0.106555544,0,0,,
2.631984949,2.765576839,-9.100036621,0,0,1,-0.204406449,0,0.018867925,,
4.664690971,5.058545113,-9.281746864,0,0,0,-0.112931604,0,0,,
1.027173638,1.073497653,-9.395717621,0,0,1,-0.178658795,0,0.013157895,,
3.422018528,3.476033926,-9.249905586,0,0,0,-0.150755715,0,0,,
1.134808064,1.139782906,-9.409161568,0,1,0,0.129557395,0.01369863,0,,
